From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A1C1CLI0	A0A1C1CLI0	unreviewed	A0A1C1CLI0_9EURO	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	PYR1 CLCR_05019	Cladophialophora carrionii	274	orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]
A0A1C1CG17	A0A1C1CG17	unreviewed	A0A1C1CG17_9EURO	Uncharacterized protein	CLCR_03744	Cladophialophora carrionii	108	
A0A1C1CJJ7	A0A1C1CJJ7	unreviewed	A0A1C1CJJ7_9EURO	Amino-acid permease BAT1	BAT1 CLCR_04676	Cladophialophora carrionii	559	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
A0A1C1CEP2	A0A1C1CEP2	unreviewed	A0A1C1CEP2_9EURO	Ribosomal protein S15	CLCR_02540	Cladophialophora carrionii	287	cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1C1CAW4	A0A1C1CAW4	unreviewed	A0A1C1CAW4_9EURO	Vacuolar transporter chaperone 2	VTC2 CLCR_01433	Cladophialophora carrionii	795	vacuolar membrane [GO:0005774]
A0A1C1CFC0	A0A1C1CFC0	unreviewed	A0A1C1CFC0_9EURO	Trichodiene oxygenase	TRI4 CLCR_02280	Cladophialophora carrionii	560	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A1C1CG40	A0A1C1CG40	unreviewed	A0A1C1CG40_9EURO	Carboxypeptidase (EC 3.4.16.-)	cpyA CLCR_03455	Cladophialophora carrionii	544	vacuole [GO:0005773]; serine-type carboxypeptidase activity [GO:0004185]; proteolysis [GO:0006508]
A0A1C1CEX7	A0A1C1CEX7	unreviewed	A0A1C1CEX7_9EURO	NAD(P)-binding protein	CLCR_02483	Cladophialophora carrionii	304	
A0A1C1C6X9	A0A1C1C6X9	unreviewed	A0A1C1C6X9_9EURO	Putative aminotransferase	CLCR_00640	Cladophialophora carrionii	422	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]
A0A1C1CYN4	A0A1C1CYN4	unreviewed	A0A1C1CYN4_9EURO	Cytochrome c oxidase assembly protein COX15	COX15 CLCR_10299	Cladophialophora carrionii	417	membrane [GO:0016020]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]; heme A biosynthetic process [GO:0006784]
A0A1C1CEQ6	A0A1C1CEQ6	unreviewed	A0A1C1CEQ6_9EURO	MmgE/PrpD family protein	CLCR_02416	Cladophialophora carrionii	462	lyase activity [GO:0016829]
A0A1C1CHX2	A0A1C1CHX2	unreviewed	A0A1C1CHX2_9EURO	homocitrate synthase (EC 2.3.3.14)	lys1 CLCR_04041	Cladophialophora carrionii	501	homocitrate synthase activity [GO:0004410]; lysine biosynthetic process via aminoadipic acid [GO:0019878]
A0A1C1CNB4	A0A1C1CNB4	unreviewed	A0A1C1CNB4_9EURO	Uncharacterized protein	CLCR_07840	Cladophialophora carrionii	78	
A0A1C1CWS5	A0A1C1CWS5	unreviewed	A0A1C1CWS5_9EURO	SH3 domain containing protein	CLCR_10713	Cladophialophora carrionii	224	
A0A1C1CYS8	A0A1C1CYS8	unreviewed	A0A1C1CYS8_9EURO	Histone H4	CLCR_10883	Cladophialophora carrionii	103	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
A0A1C1CIA3	A0A1C1CIA3	unreviewed	A0A1C1CIA3_9EURO	Putative proline utilization protein PrnX	CLCR_04085	Cladophialophora carrionii	451	
A0A1C1CAQ7	A0A1C1CAQ7	unreviewed	A0A1C1CAQ7_9EURO	DUF202 domain-containing protein	CLCR_01751	Cladophialophora carrionii	137	membrane [GO:0016020]
A0A1C1CCP1	A0A1C1CCP1	unreviewed	A0A1C1CCP1_9EURO	Peptidase C51 domain-containing protein	CLCR_01236	Cladophialophora carrionii	293	
A0A1C1CX53	A0A1C1CX53	unreviewed	A0A1C1CX53_9EURO	Uncharacterized protein	CLCR_11027	Cladophialophora carrionii	118	
A0A1C1CRI4	A0A1C1CRI4	unreviewed	A0A1C1CRI4_9EURO	Uncharacterized protein	CLCR_09344	Cladophialophora carrionii	92	
A0A1C1CJU8	A0A1C1CJU8	unreviewed	A0A1C1CJU8_9EURO	Uncharacterized protein	CLCR_04968	Cladophialophora carrionii	297	membrane [GO:0016020]
A0A1C1CKW3	A0A1C1CKW3	unreviewed	A0A1C1CKW3_9EURO	L-serine dehydratase	CLCR_04633	Cladophialophora carrionii	740	4 iron, 4 sulfur cluster binding [GO:0051539]; L-serine ammonia-lyase activity [GO:0003941]; metal ion binding [GO:0046872]; gluconeogenesis [GO:0006094]
A0A1C1CCH1	A0A1C1CCH1	unreviewed	A0A1C1CCH1_9EURO	Uncharacterized protein	CLCR_01258	Cladophialophora carrionii	310	
